andpsorts url	profile description
escuela-de-taichi-de-abanto-bilbao-bizkaia	"Somos una Asociación sin ánimo de lucro creada en el año 2005 con la denominación de “AbantokoTaichi&nbsp;Eskola”. Posteriormente, siendo autorizados por el Maestro&nbsp;Chen&nbsp;Xiaowang&nbsp;para representarle en Euskadi y utilizar su nombre en la denominación de&nbsp;la Asociación, ha pasado a denominarse:&nbsp;“Chen&nbsp;Xiaowang&nbsp;Taijiquan&nbsp;Euskadi”.<br class="""">
Pertenece a&nbsp;la Asociación&nbsp;internacional creada por el Maestro&nbsp;Chen&nbsp;Xiaowang:&nbsp;Chen&nbsp;XiaowangWorld&nbsp;Taijiquan&nbsp;Association, y tiene como objetivo la enseñanza y difusión del Estilo&nbsp;Chen&nbsp;deTaijiquan.<br class="""">
La Asociación&nbsp;está presidida por Pedro Álvarez, quien fue aceptado en 2010 como&nbsp;discípulo directo&nbsp;por el Maestro&nbsp;Chen&nbsp;Xiaowang, y pertenece, por tanto, a la 20ª generación de la familia&nbsp;Chen."
escuela-de-vela-cina	"Escuela decana de la enseñanza de vela en España. Fundada en 1968.
¡Bienvenido a bordo!

El CINA es una escuela de vela cuyo objetivo principal es el hacer de la vela un deporte accesible a todo el mundo. Enseñamos vela desde la iniciación para el que no la ha practicado nunca, hasta cursos de navegación de altura y de ayuda para la obtención del título de patrón y capitán de yate.
Al final del ciclo de formación, nuestros alumnos son navegantes seguros.

Tenemos cursos de vela ligera en el embalse de Valmayor y de vela de crucero en el embalse de San Juan para todos los niveles.
En verano también en Boiro (A Coruña)."
escuela-de-vela-fuerza-seis	"Náutica,Vela en Altea."
escuela-de-vela-los-cristianos	Surf en Arona.
escuela-de-vela-los-cristianos---club-navegantes-de-arona	"En la Escuela de Vela, te ofrecemos Cursos de Vela Ligera, Windsurf y Kayak para todas las edades. Estos cursos, están diseñados a tu medida, dependiendo del tiempo del que dispongas o del nivel que tengas. También podrás alquilar las embarcaciones, tablas de windsurf y kayaks de nuestra Escuela. Con condiciones ideales para navegar todo el año. Aprende y disfruta! Te esperamos!"
escuela-de-vela-mar-y-ocio	Otro en Alacant.
escuela-de-vela-y-windsurf-valmayor	"ESCUELA DE VELA VALMAYOR

Nos encontramos situados en el Embalse de Valmayor, Ctra. Colmenarejo a Valdemorillo M510, frente al monasterio de El Escorial. Disponemos de vestuarios, servicios, duchas, así como aula para las clases teóricas.
El programa en Vela Ligera esta destinado a todas aquellas personas cuya edad supere los 8 años, Windsurf 14 años. Las clases las imparten monitores titulados, con mas de 20 años de experiencia.
"
escuela-de-yoga-naradeva-donostia	"Enseñamos un Yoga, con diversas influencias, en el que lo físico tiene su importancia pero también la tienen lo energético, lo meditativo, lo espiritual y sobre todo la atención y el darse cuenta.<br class="""">
<br class="""">
Se trata de un Yoga creativo, sencillo y accesible a todo el mundo, un Yoga que sirve para mejorar nuestra vida en todos los aspectos.<br class="""">
"
escuela-del-club-nautico-de-altea	Otro en Altea.
escuela-del-club-nautico-de-benidorm	Otro en Benidorm.
escuela-mien-chuan-taiji	"La Escuela Mien Chuan-Taiji es un centro dedicado a la enseñanza y práctica del Taiji Tradicional (Tai Chi) y el Qigong (Chi Kung). Respaldado por los más Grandes Maestros de nuestra época, así como por estamentos oficiales nacionales e internacionales, tenemos como finalidad dar a conocer estas bellas y efectivas filosofías, tanto en su ámbito marcial, deportivo o saludable, según las necesidades del interesado."
escuela-oficial-de-esqui-sierra-nevada	"Esquí,Esquí en Sierra Nevada."
escuela-oficial-de-patinaje-in-line	"Escuela Oficial de Patinaje in Line, desde 1996, clases de todos los niveles para adultos y niños. Recintos cubiertos, con préstamo de material gratuito. Ven a probar una primera clase por 5 euro."
escuela-superior-chikungtaichi	"Escuela Superior de Chikungtaichi.

Clases diarias de Lunes a Sábado, desde principiantes hasta niveles avanzados, en grupos reducidos y atención personalizada.

Cursos de Formacion profesional.. 

Instructores Nativos."
escuela-superior-wudao	"La Escuela Superior Wudao, ha formado a multitud de profesores, y colabora con profesionales de las artes marciales que luego son reconocidos oficialmente tras demostrar que las clases que imparten son de alta calidad y se rigen por el entrenamiento y preparación reglada y acorde con el sistema de enseñanza de la escuela y de las universidades de China.

Único centro reconocido de España por la asociación de Taoismo de Baiyunguan de Beijing y de la montaña de Wudang con su correspondiente Diploma o Certificado.
Colaboradores, del Instituto Confucio
de la Universidad de Granada y Valencia
Univ de las Palmas G.Canaria (Centro de Formacion Continua)"
escuela-surfarock	"Surf,Skate en Carballo."
eskola-groseko-indarra-surf-taldea	"club de surf y bodyboard, con escuela de surf y bodyboard, realizamos cursos de aprendizaje asi como de perfeccionamiento, disponemos de instalaciones y material a pie de la playa de la Zurriola, Donostia."
esoteric-yoga	"ESOTERIC YOGA forma parte de la Federación Internacional ATMAN, la mayor organización de Yoga y Meditación en Europa.

Nuestros cursos y actividades:

CURSO DE YOGA INTEGRAL
CURSO DE TANTRA INTENSIVO
GRUPO DE VIRA
GRUPO DE SHAKTI
MUSICOTERAPIA

La particularidad de nuestros cursos es su autenticidad tradicional que está adaptada, de una manera sabia y práctica, a la estructura occidental. "
espai-zen-arenys	"Centro de Terapias Naturales y actividades dirigidas. Especializado en yoga: Yoga Kundalini y Hatha, para todos; para mayores, niños, mamás y bebés y pre-natal. Pilates y Yogilates, Tai-chi, Danza del Vientre, Nanbudo, Defensa persona, karate, meditación. Talleres, cursos, conferencias, y mucho más... 
QUIROMASAJE * DRENAJE LINFATICO * REFLEXOLOGIA PODAL* MASAJE ANTICELULITICO * MASAJE RELAJANTE * MASAJE AYURVEDA * MASAJE TIBETANO* MASAJE CIRCULATORIO * SHIATSU* REIKI * TRATAMIENTOS SPA * DEPILACIÓN A LA CERA * TERAPIA GEOTERMAL (PIEDRAS) * FLORES DE BACH * NATUROPATIA * MEDICINA TRADICIONAL CHINA * ACUPUNTURA * KINESIOLOGIA HOLÍSTICA *
DIETÉTICA Y NUTRICIÓN (DIETAS PERSONALIZADAS)
"
especiedespacio-danza	"Somos una productora de danza que realiza talleres, seminarios y cursos de danza, música, teatro, yoga...También alquilamos el espacio para rodajes, sesiones fotográficas, ensayos, etc."
esport-ciclista-manresa	"Entitat fundada a l’abril de 1935,  dedicada al foment i a la practica del ciclisme en totes les seves modalitats: carretera, BTT, ciclocròs.
Sortides cada dissabte amb carretera, seguir la nostra web.
Sortides amb BTT cada diumenge, seguir la nostra web.

"
falco-naturaleza-aventura	Senderismo en Cehegín.
federacion-canaria-de-tenis-de-mesa	"Para más información sobre la Federación Canaria de Tenis de Mesa, clubes asociados, ligas, campeonatos, torneos, eventos etc. visita nuestra página web o llámanos."
federacion-catalana-de-karate	Artes marciales en Barcelona.
federacion-comunidad-valenciana-de-karate	Artes marciales en València.
federacion-de-pesca-comunitat-valenciana	Pesca en València.
federacion-de-vela-de-la-comunitat-valenciana	Otro en València.
federacion-de-voleibol-del-principado-de-asturias	"Voleibol,Voley playa en Gijón."
federacion-madrilena-de-karate	Artes marciales en Madrid.
fivestarsfitness	Spinning en Marbella.
flaixdansa	"Academia de baile en Sabadell, cursos de danza moderna especializados en danza infantil, iniciación para adultos que siempre han querido aprender a bailar y no se hayan atrevido, reciclaje de bailarines, coreografias para espectáculos, danza teatro y expresión corporal. En resumen una formación adaptada a las necesidades e intereses de los alumnos y alumnas a partir de grupos reducidos y con niveles similares."
flysurfpassion	"1. MONITOR CON TITULACIÓN INTERNACIONAL(IKO  NIVEL 2): Al ser monitor de la Organización Internacional de Kiteboard estamos reconocidos para dar clases de kite a nivel mundial, a la vez de contar con un seguro y una vez finalizado el curso, le entregamos a cada alumno su tarjeta IKO de reconocimiento que le permitira alquilar material en cualquier escuela IKO del mundo.<br class="""">
2. SEGURIDAD Y MATERIAL: cuentas con un equipo de seguridad completo (protecciones, casco, chalecos...), con un material que se adapta a la disciplina que eliges practicar y con las cometas que, creemos, son las más seguras.<br class="""">
3. APRENDE A TU RITMO: dedicaremos el tiempo que necesites hasta que domines el kite en su entorno. Se trata de un deporte de riesgo y debes sentirte seguro y aprender sin agobios, ya que no todos avanzamos al mismo ritmo..<br class="""">
4. HAZ TU CURSO DONDE QUIERAS: nos podemos desplazar donde mejor te venga, tú elijes y nosotros nos adaptamos, siempre buscando las mejores condiciones para ti. De norte a sur, desde Portugal a Levante, y por supuesto en los pantanos del centro de la península<br class="""">
5. PRECIOS SEGÚN CURSO: consúltanos, dependerá de si sois varios alumnos, del lugar donde se imparta el curso y del nivel (básico, medio y/o avanzado).<br class="""">
Ponte en contacto con nosotros, anímate a descubrir nuevas sensaciones y sentirás la...<br class="""">
¡¡PASIÓN POR EL FLYSURF!!"
fuerteventura-surf-school	"FSch, además de contar con materiales de primera clase e insutrctores titulados por la FCS, es la única escuela local del norte de Fuerteventura.<br class="""">
En todo este tiempo nuestra dedicación al surfing a sido total, por eso para nosotros el surfing significa pasión y amor por el mar, diversión, trabajo, emociones fuertes, amigos, viajes, paisajes, salud y buenas sensaciones.<br class="""">
En definitiva, algo muy recomendable para todo el mundo. Porque no hace falta ser un campeón para disfrutar, en Fsch tú eliges hasta dónde quieres llegar...www.fuerteventurasurfschool.es<br class="""">
<br class="""">
Creada para disfrutar 365 días al año con aguas cristalinas y olas para todos los públicos, sin duda la conexión perfecta.<br class="""">
"
futbol-club-barcelona	"Atletismo,Baloncesto,Balonmano,Béisbol,Correr,Fútbol,Fútbol sala,Hockey,Jogging,Patinaje,Rugby,Running,Voleibol en Barcelona."
futbol-sala-sant-cugat	"La nostra història
Els inicis d'aquest club es remunten a l'estiu de 1978,quan 
alguns jugadors de futbol de la nostra ciutat van decidir 
formar un equip de futbol sala anomenant-lo ""Club Sporting Sant Cugat"". 

El Club Sporting Sant Cugat, posteriorment anomenat futbol sala Sant Cugat és un dels clubs pioners del futbol sala català. 

Aquest va ser el primer nom que va rebre l'entitat, mantenint aquesta denominació fins a la temporada 1988/89. 

Al llarg d'aquest període el primer equip del club ha anat 
disputant les diverses categories, obtenint grans resultats 
com va ser la temporada 1993/94 amb la victòria en el 
campionat de lliga 1ªNacional ""A"" . 

Aquest èxits van permetre al club ascendir a la Divisió de 
Plata del Futbol Sala Espanyol, on va romandre durant 5 
temporades consecutives. "
gidive	"Descubre con Gidive la riqueza del mundo subacuático y disfruta de sensaciones y experiencias que sólo bajo el agua podrás vivir.

Te ofrecemos un amplio abanico de servicios y actividades para que disfrutes del buceo con tranquilidad, seguridad y diversión. 

Escuela de Buceo

Con nosotros podrás llevar a cabo desde un bautizo de iniciación hasta cursos de especialidad, profesionales y de buceo técnico siguiendo el sistema de enseñanza PADI.

Salidas y Viajes de Buceo

Salidas semanales a los mejores puntos de la Costa Brava y viajes por todo el mundo, donde podrás descubrir nuevos entornos y conocer a gente con quien compartir tu afición."
gidive---viajes-de-buceo	"Salidas y Viajes de Buceo

¿Quieres conocer sitios nuevos de inmersión? ¿Quieres conocer a gente con quien compartir tu afición?

Con Gidive podrás hacer inmersión prácticamente todo el año en los destinos más diversos.

En todas nuestras salidas, y de forma gratuita, un Divemaster experimentado te guiará durante la inmersión.

Te ofrecemos, tanto la posibilidad de hacer inmersiones cada fin de semana en diferentes puntos de la costa catalana, como viajes de buceo a los mejores destinos del mundo.

Si lo que buscas no está aquí, no dudes en ponerte en contacto con nosotros. Seguro que lo podremos organizar para ti.

Si has venido a alguna de nuestras salidas o has viajado con nosotros, podrás encontrar las fotografías en la galería de fotos de Viajes y Salidas "
gimnas-kronnos	"Somos un gimnasio donde podrás disfrutar de: 

  TIENDA DE SUPLEMENTACIÓN DEPORTIVA (una       de las mejores marcas calidad/precio                                  VIT.O.BEST)
  
  CLASES DIRIGIDAS (spinnig, Bodycombat, Bodupump, G.A.C, Pilates, Step.

 DEPORTES DE CONTACTO (kick boxing, boxeo, full contact y MMA) tanto de adultos como infantil a partir de 6años con la posibilidad de ir a competir en cualquier modalidad y poder subir de grado (cinturón)
Tenemos tienda de ropa y accesorios para cualquier tipo de deporte de contacto.  

 CENTRO DE ESTÉTICA (DEPILACIONES, UÑAS DE GEL, ESMALTADO PERMANENTE, TODA CLASE DE TRATAMIENTOS, FOTODEPILACIÓN, ETC. "
gimnas-kyu	"Dojo de artes marciales, donde se practican karate y aikido de forma tradicional."
gimnasio-bravo-murillo-fitness	"Gimnasio Bravo Murillo Fitness cuenta con una amplia variedad de actividades;
Artes Marciales
Sala de Musculación - Cardio
Actividades Colectivas de Baile
Pilates - Yoga - Fitness..."
gimnasio-del-estadio-de-atletismo	Gimnasio en Alacant.
gimnasio-do-chan	"gimnasio dochan,es un gimnasio donde se practican las artes marciales, deportes de contacto y mucho mas..... con mas de 25 años de experiencia eb el deporte"
gimnasio-enrique-palacios	"Somos un Gimnasio de artes marciales especializado en Judo, Lucha Sambo y Aikido dirigido por profesionales."
gimnasio-extreme	Somos un Gimnasio de Barrio que se caracteriza por la Calidad de sus clases y trato Personalizado.
gimnasio-fitness-dance	"NUEVO GIMNASIO EN CUATRO CAMINOS, MADRID, EQUIPADO CON SALA CARDIOVASCULAR, ESPECIALIZADO EN CLASES COLECTIVAS, MAS DE 100 CLASES SEMANALES DE PILATES,STRETCHING, SPINNING, BODY PUMP, BODY COMBAT, ABDOMINALES HIPOPRESIVOS, GAP, AEROBIC BAILADO (BODY JAM)... FLAMENCO, LATINO, FUNKY...
PRUEBA LA CLASE QUE MAS TE GUSTE TOTALMENTE GRATIS!!!!
"
gimnasio-karate-kan	"Es un gimnasio recién remodelado, situado al lado de la ciudad universitaria, lo cual está genial para no perder tiempo andando y viniendo, con un ambiente juvenil de trabajo gracias al cual es imposible aburrirte mientras entrenas. Todo ésto, sumado a un precio muy competente respecto a algunos que encontramos hoy en día en los gimnasios, hacen del Club Karate Kan una buena opción para practicar deporte, divertirte y conocer gente."
gimnasios-palomares-aamp-tirma	"Solo recordaros por si no lo sabiais que: no somos ""grandes"" gimnasios, ni los mas ""modernos"", simplemente somos o pretendemos ser tu gimnasio en el Barrio del Pilar.
Visítanos, cuentanos tus necesidades y permítenos que te recomendemos aquella actividad que mejor se adapta a tus cualidades. 
¡¡ Cambia tu futuro y acercate a conocernos !!
BIENVENIDO A TUS GIMNASIOS DEL BARRIO DEL PILAR EN MADRID"
ginkanas-en-automovil-y-4x4	"TORNASOL desde 1991 ofrece organización de ruta en coche, alquileres corporativos, rutas 4x4, clases 4x4, conducción en camión off road, ginkanas urbanas y en ruta para grupos y turismo activo en coche."
ginkgos-centre-terapeutic	"Ginkgo's es un centro privado formado por profesionales sanitarios y dedicado principalmente a la Medicina Tradicional China, con más de 20 años de experiencia en tratamientos de Acupuntura y enseñanzas de Chi Kung.

Trabajamos también la Reflexoterapia, el Quiromasaje y realizamos tratamientos de Fisioterapia y Osteopatía infantil. Además, disponemos de un completo servicio de Enfermería.

Nuestro objetivo es lograr que nuestros pacientes y alumnos cultiven su salud ofreciéndoles un trato personalizado en un ambiente familiar.

Elige el camino de la salud!"
global-kite	"A lo largo de estos últimos años todos hemos visto en alguna ocasión como en las playas de Cataluña, de España o algún lugar del mundo, se ven envueltas por un deporte único y ahora de moda: EL KITESURF.<br class="""">
El kitesurf un deporte extremo que derrocha color, por los cientos y cientos de cometas que invaden el cielo, un espectáculo visual, por los saltos, trucos y maniobras que llevan acabo los practicantes kiters. Y una tendencia, un estilo de vida dónde se disparan las sensaciones y se magnifica la adrenalina.<br class="""">
El viento y el el mar son las herramientas que pone la naturaleza a nuestra disposición y un kite y una tabla las herramientas desarrolladas por el hombre para practicar kitesurf.<br class="""">
En la practica de este deporte las sensaciones se disparan, son únicas porque cuando te encuentras encima de tu tabla, mar a dentro, tu solo con el sonido de las olas acompañándote, el viento empujándote para navegar y el ruido de tu tabla al deslizarse sobre el agua; fluye en ti algo especial que te aporta libertad y superación personal porque cada día es distinto,cada día es diferente como el mar. Todo esto provoca una adicción sana por un deporte de lo mas enigmático.<br class="""">
De todas estas sensaciones y con el entusiasmo y la pasión por el Kitesurf; nace la escuela GLOBAL KITE.<br class="""">
En el Kitesurf como en cualquier otro deporte, mejora nuestra condición física, nuestra resistencia muscular y nuestro bienestar.<br class="""">
Dejate llevar&nbsp; por la magia del Kitesurf y vive una experiencia en plena naturaleza donde todos los elementos, viento, agua y arena, te aportaran buenas sensaciones, amigos y libertad.<br class="""">
GLOBAL KITE,&nbsp;trabaja&nbsp;todo el año!&nbsp;los 7 dias de la semana!&nbsp;Nuestro sistema de enseñanza y operatividad esta diseñado para funcionar a medida con el alumno. Al ser unaescuela móvil&nbsp;podemos llegar cerca de los lugares mas adecuados para practicar kitesurf, pudiendo operar en playas de características especiales para dar calidad y seguridad, tales como:<br class="""">
Castelldefels (Barcelona) estamos todo el año excepto verano.<br class="""">
Delta del Ebro (Tarragona)<br class="""">
Y viajes programados<br class="""">
Para poder adaptarnos a la agenda del alumno por complicada que sea, el horario es programado por el alumno, y nosotros buscamos el viento,&nbsp; si no hay viento no se pierden las horas, se realizan el siguiente dia que programe el alumno. Esto nos permite&nbsp;garantizaral alumno&nbsp;que en sus horas de clase, va a contar con&nbsp;viento de calidad.<br class="""">
Para hacer un curso,&nbsp;NO importa la edad ni el forma física, ni haber tenido experiencia en deportes similares. En el curso, el alumno adquiere un nivel, básico de navegación y muy alto de seguridad.<br class="""">
En el&nbsp;precio&nbsp;del curso esta&nbsp;incluido&nbsp;el&nbsp;material&nbsp;técnico, el equipo de seguridad,&nbsp;traje de neopreno&nbsp;y&nbsp;seguro RC.<br class="""">
Nuestros profesores cuentan con la titulación de&nbsp;Instructor internacional IKO&nbsp;(Internacional Kite Organanization (http://www.ikorg.com/) desde el año 2003, y algunos llevan ejerciendo de profesor de Kitesurf desde el año 1999.<br class="""">
Consulta las&nbsp;tarifas&nbsp;y haz tu reserva lo antes posible para asegurar plaza!"
go-karts-orihuela-costa	karting en Orihuela.
govindghat	"La asociación nació en Agosto del 2008. Se trata de un proceso lógico al tomar un compromiso sin vuelta a tras con el Kundalini Yoga. La dirección en mi vida la da la práctica espiritual y el encaje en la sociedad. Cuando encontramos obstáculos en esa dirección, encontramos al mismo tiempo la solución a nuestros problemas. Es entonces cuando crecemos.

El trabajar con la gente es muy gratificante. Todo lo que tu des a los demás, te será devuelto. Si tu das lo mejor de ti, los demás te darán lo mejor de ellos mismos. Poder ser amable con la gente es para mi el placer más grande de este mundo. Las situaciones que te ponen a prueba mientras enseñas Yoga son bendiciones disfrazadas. En esos momentos difíciles, si eres capaz de pararte, y encontrar la no reacción, algo nuevo nace en ti.
La Asociación Govindghat tiene como objetivos la práctica y la enseñanza del Kundalini Yoga. Para nosotros es muy importante la Sadhana (disciplina del Yogui). Cada mañana practicamos Yoga y meditamos en las primeras horas del día. Nuestro compromiso con las personas es ayudarlas a través de la enseñanza de la tecnología del Kundalini Yoga.

Sat Kirpal Singh, Presidente"
green-paddock	Padel en Torrelodones.
grupo-ciclista-buenavista	Ciclismo en Gijón.
grupo-ciempies	Triatlón en Zaragoza.
grupo-de-marcha-nordica-madrid-norte	"NUESTRO GRUPO El GRUPO DE MARCHA NÓRDICA MADRID NORTE nace con la vocación de difundir este saludable deporte.Si bien residimos al norte de Madrid capital, nuestra intención es realizar actividades a lo largo y ancho de nuestra Comunidad y Comunidades limítrofes.Nuestra intención es enfocarnos en la salud. Para ello no nos cansaremos en insistir la necesidad de desarrollar una técnica correcta al andar.¿QUÉ ES LA MARCHA NÓRDICA O NORDIC WALKING?Se origina en los años 30 en los países nórdicos como entrenamiento de verano para los esquiadores de fondo.En 1977 empiezan a aparecer los bastones específicos para la marcha nórdica.Se trata de caminar con dos bastones especiales y una técnica también muy especial, que es preciso aprender bien para obtener todos los beneficios de este nuevo deporte.La MARCHA NÓRDICA incluye no solo la acción de la parte inferior del cuerpo, como en la caminata normal o el senderismo, sino también de la parte superior. Esto la convierte en uno de los deportes más completos que existen, incluso mejor que la natación."
gym-plaza	"GYM PLAZA ES UN GIMNASIO INAGURADO EN OCTUBRE DEL 2003,ESTA UBICADO EN LA LOCALIDAD DE CALPE EN EL CENTRO COMERCIAL PLAZA CENTRAL,ES UN GIMNASIO MIXTO,LA FILOSOFIA DE ESTE CENTRO ES, ESTAR SIEMPRE AL DIA CON TODAS LAS NOVEDADES DEL FITNESS, DESTACAMOS EL BUEN AMBIENTE QUE HAY, A PARTE DE CUIDAR TU SALUD SE HACEN MUY BUENAS AMISTADES,ES EL UNICO CENTRO DE LA ZONA DONDE PODRAS MEJORAR TU CONDICION FISICA GRACIAS A NUESTRO EQUIPO DE PROFESIONALES QUE ESTAN A CARGO DE LAS ACTIVIDADES DIRIGIDAS Y SALA FITNESS"
habil-on-board	"Somos un equipo de buenos amigos, amantes de los deportes de deslizamiento de toda la vida, con un proyecto comun,este proyecto es Habil on board.
Actualmente damos clases de kitesurf, surf, y skate, tenemos un half pipe y una miniramp en nuestras instalaciones, tambien tenemos skateparks por la zona."
hammersea---international-diving-company	Hammersea International Company .Escuela de buceo con sede en Zaragoza. Nuestros centros están ubicados en Jávea (España) y Trogir (Croacia).
hipica-bajo-gallego-zuera	"Somos un grupo de gente que nos une una pasión, el mundo del caballo, en nuestro club ofrecemos Clases de Equitación, Hipoterapia, Pupilajes desde 120€ en Cuadras cubiertas o Paddock en semilibertad, Doma de potros, Poni-Club, Poni-Paseos, Excursiones guiadas por el campo, actividades para grupos, Cumpleaños con paseos en poni...

Todo esto a veinte minutos de Zaragoza, en Zuera. Estamos en un enclave privilegiado rodeados de naturaleza y nuestras instalaciones están pensadas para que la pràctica de la equitaciòn se haga en las mejores condiciones. Pista grande, pistas pequeñas, cìrculos de dar cuerda, parque infantil, club social..."
homegrown-surf-school-surf-camp-fuerteventura	surf en Corralejo.
homsa-sport-sl	"Spinning,Natación,Padel en Zaragoza."
hot-yoga-ibiza	"Hot Yoga Ibiza es TU escuela de yoga y TU centro de masajes en ibiza .Ven a practicar Hot yoga o Ashtanga Vinyasa en uno de los estudios mas modernos de toda europa con mas de 20 clases a la semana para que encuentres TU momento para la practica. En el estudio  se ofrecen diferentes tipos de masajes :relajantes, deportivos ,anticelllulitis ....
Para hacer frente a las turbulencias de la vida y no estar sumido en el stress, ven a practicar yoga! La perfecta búsqueda de la armonía entre cuerpo, mente y espíritu.
El yoga no te proporcionará solamente una sensación de bienestar inmediata, sino que a largo plazo, contribuirá a un desarrollo positivo y armonioso de tu personalidad y manera de vivir.
Una práctica regular te enseñará como tranquilizar la mente y apreciar realmente la importancia del ""ser"". Trabajando el cuerpo junto con la respiración y la concentración, llegarás y disfrutarás de una completa relajación.
Yoga es absolutamente para todo el mundo, no hay nadie que sea demasiado pequeño, grande, fuerte o viejo que le impida la práctica del yoga."
ibf-vilanova	"El Karate Jutsu ofrece una amplia variedad de respuestas simples, particularmente eficaces, que permite al karateka redescubrir su disciplina. ""el vínculo con el pasado puede ser el puente hacia el futuro""...Koryu Uchinadi. ""penetrar en lo antiguo es comprender lo nuevo""...Confucio."
ibiza-mundo-activo	"Somos una empresa de turismo activo que ofrece la posibilidad de realizar un amplio abanico de actividades deportivas de la mano de monitores titulados y con amplia experiencia. Ofertamos cursos y excursiones en los que el contacto con la naturaleza y la diversión son las notas más destacables. También ofrecemos la posibilidad de alquilar el material para realizar las actividades por cuenta propia. Entre todos los deportes que practicamos podemos destacar: kayak, escalada, marcha nórdica, Stand Up Paddle, B.T.T, barranquismo, senderismo, rappel, espeleología o cicloturismo. Además, organizamos eventos, incentivos, actividades de teambuilding, fiestas, talleres y campamentos.
Nuestro mayor deseo, es que os llevéis un recuerdo inolvidable de Ibiza."
idm-margaritas	"INSTALACIÓN DEPORTIVA MUNICIPAL DE CORDOBA, SALA DE FITNES Y CARDIO, PISTAS POLIDEPORTIVAS, PILATES, YOGA, ESCUELA DE ESPALDA, AEROBIC, MANTENIMIENTO, POWER, CICLO, BAILES DE SALON, DANZA, G. RITMICA, BALONCESTO, TENIS, PISTAS DE PADEL, SAUNA, SERVICIO TAQUILLAS, BAR Y FISIO, CURSOS DE SEVILLANAS, ETC."
ines-e-inigo-dantza-eskola	"Más de 10 años en el centro de Bilbao, 600 metros cuadrados de escuela, todo tipo de baile"
instituto-wutan-bcn	Escuela de Tai Chi Chuan y Chi Kung estilo Chen Hun Yuan
